"Player","Team","Bye","POS","Sleeper","ADP"
"Ja'Marr Chase","CIN","10","WR1","1","1"
"Saquon Barkley","PHI","9","RB1","2","2"
"Bijan Robinson","ATL","5","RB2","3","3"
"Justin Jefferson","MIN","6","WR2","4","4"
"Jahmyr Gibbs","DET","8","RB3","5","5"
"CeeDee Lamb","DAL","10","WR3","6","6"
"Derrick Henry","BAL","7","RB4","7","7"
"Puka Nacua","LAR","8","WR4","8","8"
"Amon-Ra St. Brown","DET","8","WR5","9","9"
"Ashton Jeanty","LV","8","RB5","10","10"
"Malik Nabers","NYG","14","WR6","11","11"
"Christian McCaffrey","SF","14","RB6","12","12"
"Nico Collins","HOU","6","WR7","13","13"
"De'Von Achane","MIA","12","RB7","14","14"
"Brian Thomas Jr.","JAC","8","WR8","15","15"
"Brock Bowers","LV","8","TE1","16","16"
"A.J. Brown","PHI","9","WR9","17","17"
"Drake London","ATL","5","WR10","18","18"
"Josh Jacobs","GB","5","RB8","19","19"
"Bucky Irving","TB","9","RB9","20","20"
"Jonathan Taylor","IND","11","RB10","21","21"
"Josh Allen","BUF","7","QB1","22","22"
"Ladd McConkey","LAC","12","WR11","23","23"
"Lamar Jackson","BAL","7","QB2","24","24"
"Trey McBride","ARI","8","TE2","25","25"
"Kyren Williams","LAR","8","RB11","26","26"
"Chase Brown","CIN","10","RB12","27","27"
"Jaxon Smith-Njigba","SEA","8","WR12","28","28"
"Tyreek Hill","MIA","12","WR13","29","29"
"Tee Higgins","CIN","10","WR14","30","30"
"Jayden Daniels","WAS","12","QB3","31","31"
"Breece Hall","NYJ","9","RB13","32","32"
"James Cook","BUF","7","RB14","33","33"
"Garrett Wilson","NYJ","9","WR15","34","34"
"Terry McLaurin","WAS","12","WR16","35","35"
"Marvin Harrison Jr.","ARI","8","WR17","36","36"
"Mike Evans","TB","9","WR18","37","37"
"George Kittle","SF","14","TE3","38","38"
"Omarion Hampton","LAC","12","RB15","39","39"
"Jalen Hurts","PHI","9","QB4","40","40"
"Alvin Kamara","NO","11","RB16","41","41"
"Joe Burrow","CIN","10","QB5","42","42"
"Davante Adams","LAR","8","WR19","43","43"
"Kenneth Walker III","SEA","8","RB17","44","44"
"Chuba Hubbard","CAR","14","RB18","45","45"
"Rashee Rice","KC","10","WR20","46","46"
"DJ Moore","CHI","5","WR21","47","47"
"DK Metcalf","PIT","5","WR22","48","48"
"James Conner","ARI","8","RB19","49","49"
"Courtland Sutton","DEN","12","WR23","50","50"
"Joe Mixon","HOU","6","RB20","51","51"
"Sam LaPorta","DET","8","TE4","52","52"
"DeVonta Smith","PHI","9","WR24","53","53"
"David Montgomery","DET","8","RB21","54","54"
"Zay Flowers","BAL","7","WR25","55","55"
"Xavier Worthy","KC","10","WR26","56","56"
"RJ Harvey","DEN","12","RB22","57","57"
"Jameson Williams","DET","8","WR27","58","58"
"Tetairoa McMillan","CAR","14","WR28","59","59"
"Patrick Mahomes II","KC","10","QB6","60","60"
"Isiah Pacheco","KC","10","RB23","61","61"
"T.J. Hockenson","MIN","6","TE5","62","62"
"TreVeyon Henderson","NE","14","RB24","63","63"
"George Pickens","DAL","10","WR29","64","64"
"Travis Hunter","JAC","8","WR30","65","65"
"Aaron Jones Sr.","MIN","6","RB25","66","66"
"Jaylen Waddle","MIA","12","WR31","67","67"
"D'Andre Swift","CHI","5","RB26","68","68"
"Chris Olave","NO","11","WR32","69","69"
"Travis Kelce","KC","10","TE6","70","70"
"Quinshon Judkins","CLE","9","RB27","71","71"
"Baker Mayfield","TB","9","QB7","72","72"
"Tony Pollard","TEN","10","RB28","73","73"
"Jerry Jeudy","CLE","9","WR33","74","74"
"Calvin Ridley","TEN","10","WR34","75","75"
"Jordan Addison","MIN","6","WR35","76","76"
"Kaleb Johnson","PIT","5","RB29","77","77"
"Mark Andrews","BAL","7","TE7","78","78"
"Rome Odunze","CHI","5","WR36","79","79"
"Chris Godwin","TB","9","WR37","80","80"
"Brian Robinson Jr.","WAS","12","RB30","81","81"
"Bo Nix","DEN","12","QB8","82","82"
"Tyrone Tracy Jr.","NYG","14","RB31","83","83"
"Jakobi Meyers","LV","8","WR38","84","84"
"Deebo Samuel Sr.","WAS","12","WR39","85","85"
"Khalil Shakir","BUF","7","WR40","86","86"
"Jaylen Warren","PIT","5","RB32","87","87"
"Travis Etienne Jr.","JAC","8","RB33","88","88"
"Evan Engram","DEN","12","TE8","89","89"
"Cooper Kupp","SEA","8","WR41","90","90"
"Stefon Diggs","NE","14","WR42","91","91"
"Kyler Murray","ARI","8","QB9","92","92"
"David Njoku","CLE","9","TE9","93","93"
"Ricky Pearsall","SF","14","WR43","94","94"
"Jayden Reed","GB","5","WR44","95","95"
"Matthew Golden","GB","5","WR45","96","96"
"Tyler Warren","IND","11","TE10","97","97"
"Jared Goff","DET","8","QB10","98","98"
"Jonnu Smith","PIT","5","TE11","99","99"
"Jauan Jennings","SF","14","WR46","100","100"
"Najee Harris","LAC","12","RB34","101","101"
"Cam Skattebo","NYG","14","RB35","102","102"
"Javonte Williams","DAL","10","RB36","103","103"
