team,year,league,wins,losses,ties,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17
Indianapolis Aztecs,2018,PREMIER,4,9,0,155.5,89,94.45,93.35,132.95,99.65,101.85,123.65,107.95,122.05,145.8,96.8,96.4,75.05,116.1,136.75,
FFUcked Up,2018,PREMIER,8,5,0,129.35,131.65,141,159.8,137.55,130.55,121.6,137.85,108.3,104.55,152.75,129.35,119.2,127.15,91.9,96.6,
Not Your Average Joes,2018,PREMIER,7,6,0,108.15,85.3,129.95,77.6,84.5,103.45,108.9,93.25,93.25,121.3,145.95,132.8,98,109.4,88.25,95.2,
Raging Rhinos,2018,PREMIER,4,9,0,80.85,117.8,61.65,106.75,83.85,94.6,115.65,125.5,116.1,129.4,125.75,137.9,117.35,165.3,88.75,88.05,
Durham Handsome Devils,2018,PREMIER,9,4,0,133.4,123.4,80.9,163.9,124.95,149.05,99.95,120.5,161.35,118.65,131.4,110.5,124.95,147.3,116.3,160.2,
El Guapo Puto,2018,PREMIER,5,8,0,99.05,97.6,103.65,134.2,128.75,130.4,183.25,80.6,163.3,96.1,95.3,98.05,71.55,98.9,58.05,55,
Big Ten Bandits,2018,PREMIER,9,4,0,127.45,114.25,122.5,144.9,108.35,95.25,128.15,130.9,51.75,148.35,78.05,124.6,78.95,,101.55,95.3,
"Blood, Sweat, and Beers",2018,PREMIER,5,8,0,101.2,135.75,125.1,104.8,105.85,116.5,84.6,148.75,117.75,123.95,108.4,74.9,108.35,78.85,98.25,132.65,
The Minutemen,2018,PREMIER,9,4,0,125.8,124.75,86.8,157.9,102.85,112.45,103.65,120.25,128.05,179.65,134.25,149.5,103.6,,127.35,139,
The Losers,2018,PREMIER,4,9,0,111.4,104.7,136.85,102.7,75.9,100.6,78.5,136.8,107.45,113.6,78.75,87.7,100.35,88.2,108.95,140.65,
Circle City Phantoms,2018,PREMIER,6,7,0,116.85,100.65,128.2,107.75,109.15,95.85,100.6,124,119.4,85.6,97.55,88.75,93.85,84.7,86.05,79.05,
The Stallions,2018,PREMIER,8,5,0,81.7,150.55,101.1,145.05,153,153.55,106,109.8,87.2,152.95,129.55,152.25,116.9,121.25,81.25,135.6,
Speedway's Ritual Cog,2018,NATIONAL,5,8,0,106.35,116.6,96.65,158,122.1,108.95,93.2,106.75,90,52.85,91.8,109.1,148.95,94.9,61.65,119.05,
Gingy Flame,2018,NATIONAL,5,8,0,81.8,141.95,90,140.95,113.85,120.45,100.35,55.3,83.85,137.7,113.9,134.1,70.05,130,62.6,74.4,
Fort Wayne Banana Bread,2018,NATIONAL,9,4,0,149.4,122.15,107.35,94.7,142.2,149.25,112.25,87.2,133.45,115.25,122.6,105.4,112.05,,127.2,122.7,
Stark Direwolves,2018,NATIONAL,8,5,0,145.85,99.8,144.05,144.3,77.65,73.65,138.6,111.35,167.05,169.3,116.25,135.1,90.85,90.6,96.85,158.9,
Team Black Death,2018,NATIONAL,3,10,0,126.5,118.95,95.4,142,97.05,125.45,113.55,90.85,54.2,94.3,65.4,101,105.05,59.5,85.05,144.05,
Team Jacamart,2018,NATIONAL,5,8,0,116.45,107.1,108.5,123.75,110.25,161.25,80.35,111,95.6,115.8,146.25,108.75,112.25,136.6,87.35,100.95,
Team Team Casa,2018,NATIONAL,4,9,0,101.7,97.5,120.1,139.1,93.75,143.7,138,140.35,134.65,82.95,112.3,107.8,90.4,80.25,74.65,77.05,
Act More Stupidly,2018,NATIONAL,8,5,0,95.7,123.6,110.35,105.8,97.7,82.6,113.6,99.6,126.65,112.65,114.55,140.25,105.45,112,123.65,134.25,
ChicagoPick6,2018,NATIONAL,5,8,0,113.25,107.65,101.75,77.95,96.7,100.6,81.05,119.8,113.1,118.15,112.25,117.95,101.4,94.05,83.25,94.4,
Stone Cold Steve Irwins,2018,NATIONAL,8,5,0,109.25,99.3,103.15,112.7,103.45,109,95.45,154.4,103.35,124.1,132.35,114.85,103.35,104.95,89.85,98.9,
The Well Done Stakes,2018,NATIONAL,12,1,0,130.55,110.25,130.8,168.25,153.45,135.55,135.15,137.75,138.45,115.85,122.45,92.7,132,,88.55,102.1,
