Pick,Player,Team,Keeper,Note,Misc,Manage
1.1 (1),Ezekiel Elliott · RB · (DAL),CreamOfTheCrop Macho Men,--,--,,Open options
1.2 (2),Le'Veon Bell · RB · (FA),Great Team Name,--,--,,Open options
1.3 (3),Todd Gurley · RB · (LAR),Oklahoma Banana Bread,--,--,,Open options
1.4 (4),Antonio Brown · WR · (PIT),Team Dogecoin,--,--,,Open options
1.5 (5),David Johnson · RB · (ARI),The Well Done Stakes,--,--,,Open options
1.6 (6),Saquon Barkley · RB · (NYG),Team Black Death,--,--,,Open options
1.7 (7),Alvin Kamara · RB · (NO),Stark Direwolves,--,--,,Open options
1.8 (8),Kareem Hunt · RB · (KC),Team Team Casa,--,--,,Open options
1.9 (9),Julio Jones · WR · (ATL),Goat Emoji,--,--,,Open options
1.10 (10),Leonard Fournette · RB · (JAX),Gingy Flame,--,--,,Open options
1.11 (11),DeAndre Hopkins · WR · (HOU),Speedway's Ritual Cog,--,--,,Open options
1.12 (12),Odell Beckham · WR · (NYG),Team Painter Pick 6,--,--,,Open options
2.1 (13),Dalvin Cook · RB · (MIN),Team Painter Pick 6,--,--,,Open options
2.2 (14),Keenan Allen · WR · (LAC),Speedway's Ritual Cog,--,--,,Open options
2.3 (15),Melvin Gordon · RB · (LAC),Gingy Flame,--,--,,Open options
2.4 (16),Christian McCaffrey · RB · (CAR),Goat Emoji,--,--,,Open options
2.5 (17),Devonta Freeman · RB · (ATL),Team Team Casa,--,--,,Open options
2.6 (18),Michael Thomas · WR · (NO),Stark Direwolves,--,--,,Open options
2.7 (19),A.J. Green · WR · (CIN),Team Black Death,--,--,,Open options
2.8 (20),Davante Adams · WR · (GB),The Well Done Stakes,--,--,,Open options
2.9 (21),Mike Evans · WR · (TB),Team Dogecoin,--,--,,Open options
2.10 (22),Rob Gronkowski · TE · (NE),Oklahoma Banana Bread,--,--,,Open options
2.11 (23),T.Y. Hilton · WR · (IND),Great Team Name,--,--,,Open options
2.12 (24),LeSean McCoy · RB · (BUF),CreamOfTheCrop Macho Men,--,--,,Open options
3.1 (25),Demaryius Thomas · WR · (DEN),CreamOfTheCrop Macho Men,--,--,,Open options
3.2 (26),Tyreek Hill · WR · (KC),Great Team Name,--,--,,Open options
3.3 (27),Joe Mixon · RB · (CIN),Oklahoma Banana Bread,--,--,,Open options
3.4 (28),Jordan Howard · RB · (CHI),Team Dogecoin,--,--,,Open options
3.5 (29),Travis Kelce · TE · (KC),The Well Done Stakes,--,--,,Open options
3.6 (30),Larry Fitzgerald · WR · (ARI),Team Black Death,--,--,,Open options
3.7 (31),Jerick McKinnon · RB · (FA),Stark Direwolves,--,--,,Open options
3.8 (32),Adam Thielen · WR · (MIN),Team Team Casa,--,--,,Open options
3.9 (33),Stefon Diggs · WR · (MIN),Goat Emoji,--,--,,Open options
3.10 (34),Doug Baldwin · WR · (SEA),Gingy Flame,--,--,,Open options
3.11 (35),Zach Ertz · TE · (PHI),Speedway's Ritual Cog,--,--,,Open options
3.12 (36),Allen Robinson · WR · (CHI),Team Painter Pick 6,--,--,,Open options
4.1 (37),Royce Freeman · RB · (DEN),Team Painter Pick 6,--,--,,Open options
4.2 (38),Golden Tate · WR · (DET),Speedway's Ritual Cog,--,--,,Open options
4.3 (39),Amari Cooper · WR · (LV),Gingy Flame,--,--,,Open options
4.4 (40),Kenyan Drake · RB · (MIA),Goat Emoji,--,--,,Open options
4.5 (41),Marvin Jones · WR · (DET),Team Team Casa,--,--,,Open options
4.6 (42),Jarvis Landry · WR · (CLE),Stark Direwolves,--,--,,Open options
4.7 (43),Alex Collins · RB · (BAL),Team Black Death,--,--,,Open options
4.8 (44),Josh Gordon · WR · (CLE),The Well Done Stakes,--,--,,Open options
4.9 (45),Derrick Henry · RB · (TEN),Team Dogecoin,--,--,,Open options
4.10 (46),Brandin Cooks · WR · (LAR),Oklahoma Banana Bread,--,--,,Open options
4.11 (47),Lamar Miller · RB · (HOU),Great Team Name,--,--,,Open options
4.12 (48),Tom Brady · QB · (NE),CreamOfTheCrop Macho Men,--,--,,Open options
5.1 (49),Julian Edelman · WR · (FA),CreamOfTheCrop Macho Men,--,--,,Open options
5.2 (50),Mark Ingram · RB · (FA),Great Team Name,--,--,,Open options
5.3 (51),Aaron Rodgers · QB · (GB),Oklahoma Banana Bread,--,--,,Open options
5.4 (52),JuJu Smith-Schuster · WR · (PIT),Team Dogecoin,--,--,,Open options
5.5 (53),Alshon Jeffery · WR · (FA),The Well Done Stakes,--,--,,Open options
5.6 (54),Marshawn Lynch · RB · (LV),Team Black Death,--,--,,Open options
5.7 (55),Dion Lewis · RB · (TEN),Stark Direwolves,--,--,,Open options
5.8 (56),Jay Ajayi · RB · (PHI),Team Team Casa,--,--,,Open options
5.9 (57),Chris Hogan · WR · (NE),Goat Emoji,--,--,,Open options
5.10 (58),Emmanuel Sanders · WR · (DEN),Gingy Flame,--,--,,Open options
5.11 (59),Duke Johnson · RB · (CLE),Speedway's Ritual Cog,--,--,,Open options
5.12 (60),Michael Crabtree · WR · (BAL),Team Painter Pick 6,--,--,,Open options
6.1 (61),Greg Olsen · TE · (CAR),Team Painter Pick 6,--,--,,Open options
6.2 (62),Rex Burkhead · RB · (NE),Speedway's Ritual Cog,--,--,,Open options
6.3 (63),Marquise Goodwin · WR · (SF),Gingy Flame,--,--,,Open options
6.4 (64),Kerryon Johnson · RB · (DET),Goat Emoji,--,--,,Open options
6.5 (65),Delanie Walker · TE · (TEN),Team Team Casa,--,--,,Open options
6.6 (66),Robert Woods · WR · (LAR),Stark Direwolves,--,--,,Open options
