Pick,Player,Team,Keeper,Note,Misc,Manage
1.1 (1),Saquon Barkley · RB · (NYG),The Minutemen,--,--,,
1.2 (2),Alvin Kamara · RB · (NO),Atlanta Handsome Devils,--,--,,
1.3 (3),Christian McCaffrey · RB · (CAR),Goat Emoji II,--,--,,
1.4 (4),David Johnson · RB · (ARI),Wisconsian Banana Bread,--,--,,
1.5 (5),Le'Veon Bell · RB · (NYJ),The Stallions,--,--,,
1.6 (6),DeAndre Hopkins · WR · (HOU),"Blood, Sweat and Beers",--,--,,
1.7 (7),Davante Adams · WR · (GB),The Well Done Stakes,--,--,,
1.8 (8),Ezekiel Elliott · RB · (DAL),Stone Cold Steve Irwins,--,--,,
1.9 (9),Julio Jones · WR · (ATL),Stark Direwolves,--,--,,
1.10 (10),James Conner · RB · (PIT),Big Ten Bandits,--,--,,
1.11 (11),Michael Thomas · WR · (NO),Team Dogecoin,--,--,,
1.12 (12),JuJu Smith-Schuster · WR · (PIT),FFUcked Up,--,--,,
2.1 (13),Mike Evans · WR · (TB),FFUcked Up,--,--,,
2.2 (14),Odell Beckham · WR · (CLE),Team Dogecoin,--,--,,
2.3 (15),Travis Kelce · TE · (KC),Big Ten Bandits,--,--,,
2.4 (16),Todd Gurley · RB · (LAR),Stark Direwolves,--,--,,
2.5 (17),Tyreek Hill · WR · (KC),Stone Cold Steve Irwins,--,--,,
2.6 (18),Nick Chubb · RB · (CLE),The Well Done Stakes,--,--,,
2.7 (19),Joe Mixon · RB · (CIN),"Blood, Sweat and Beers",--,--,,
2.8 (20),Dalvin Cook · RB · (MIN),The Stallions,--,--,,
2.9 (21),Keenan Allen · WR · (LAC),Wisconsian Banana Bread,--,--,,
2.10 (22),Antonio Brown · WR · (FA),Goat Emoji II,--,--,,
2.11 (23),Kerryon Johnson · RB · (DET),Atlanta Handsome Devils,--,--,,
2.12 (24),Aaron Jones · RB · (GB),The Minutemen,--,--,,
3.1 (25),Devonta Freeman · RB · (ATL),The Minutemen,--,--,,
3.2 (26),Julian Edelman · WR · (NE),Atlanta Handsome Devils,--,--,,
3.3 (27),Chris Carson · RB · (SEA),Goat Emoji II,--,--,,
3.4 (28),Josh Jacobs · RB · (LV),Wisconsian Banana Bread,--,--,,
3.5 (29),George Kittle · TE · (SF),The Stallions,--,--,,
3.6 (30),Zach Ertz · TE · (PHI),"Blood, Sweat and Beers",--,--,,
3.7 (31),Adam Thielen · WR · (MIN),The Well Done Stakes,--,--,,
3.8 (32),Patrick Mahomes · QB · (KC),Stone Cold Steve Irwins,--,--,,
3.9 (33),Damien Williams · RB · (KC),Stark Direwolves,--,--,,
3.10 (34),Derrick Henry · RB · (TEN),Big Ten Bandits,--,--,,
3.11 (35),David Montgomery · RB · (CHI),Team Dogecoin,--,--,,
3.12 (36),Sony Michel · RB · (NE),FFUcked Up,--,--,,
4.1 (37),Robert Woods · WR · (LAR),FFUcked Up,--,--,,
4.2 (38),Leonard Fournette · RB · (JAX),Team Dogecoin,--,--,,
4.3 (39),Brandin Cooks · WR · (LAR),Big Ten Bandits,--,--,,
4.4 (40),Amari Cooper · WR · (DAL),Stark Direwolves,--,--,,
4.5 (41),Melvin Gordon · RB · (FA),Stone Cold Steve Irwins,--,--,,
4.6 (42),Mark Ingram · RB · (BAL),The Well Done Stakes,--,--,,
4.7 (43),Stefon Diggs · WR · (MIN),"Blood, Sweat and Beers",--,--,,
4.8 (44),T.Y. Hilton · WR · (IND),The Stallions,--,--,,
4.9 (45),Kenny Golladay · WR · (DET),Wisconsian Banana Bread,--,--,,
4.10 (46),Cooper Kupp · WR · (LAR),Goat Emoji II,--,--,,
4.11 (47),Chris Godwin · WR · (TB),Atlanta Handsome Devils,--,--,,
4.12 (48),Tyler Lockett · WR · (SEA),The Minutemen,--,--,,
5.1 (49),Allen Robinson · WR · (CHI),The Minutemen,--,--,,
5.2 (50),O.J. Howard · TE · (TB),Atlanta Handsome Devils,--,--,,
5.3 (51),Deshaun Watson · QB · (HOU),Goat Emoji II,--,--,,
5.4 (52),Kenyan Drake · RB · (MIA),Wisconsian Banana Bread,--,--,,
5.5 (53),Tyler Boyd · WR · (CIN),The Stallions,--,--,,
5.6 (54),Marlon Mack · RB · (IND),"Blood, Sweat and Beers",--,--,,
5.7 (55),Duke Johnson · RB · (HOU),The Well Done Stakes,--,--,,
