,,,,,,
Week,Team,Score,Opponent,Score,Misc,Manage
Week 16,Team Pancake,71.3,El Guapo Puto,129.65,,Open options
Week 16,Elm Street Skywalkers,102.3,Gingy Flame,125.95,,Open options
Week 16,Great Team Name,145.1,The Losers,133.75,,Open options
Week 16,Team Painter Pick 6,116.75,Team Black Death,90.4,,Open options
Week 16,Naptown Makos,82.75,Speedway's Ritual Cog,79.5,,Open options
Week 16,Indianapolis Aztecs,83.6,Currier Island Raging ...,110.1,,Open options
Week 15,Great Team Name,142.6,Team Pancake,86.2,,Open options
Week 15,Gingy Flame,126,El Guapo Puto,97.7,,Open options
Week 15,Elm Street Skywalkers,97.45,The Losers,173.2,,Open options
Week 15,Team Black Death,111.15,Team Painter Pick 6,116.85,,Open options
Week 15,Naptown Makos,103.1,Currier Island Raging ...,140.45,,Open options
Week 15,Indianapolis Aztecs,137.65,Speedway's Ritual Cog,92.5,,Open options
Week 14,Speedway's Ritual Cog,154.55,Team Painter Pick 6,135.55,,Open options
Week 14,Team Black Death,111,Currier Island Raging ...,126.25,,Open options
Week 14,Elm Street Skywalkers,140.05,Great Team Name,83.55,,Open options
Week 14,Gingy Flame,91.85,The Losers,119.25,,Open options
Week 14,El Guapo Puto,74.55,Team Pancake,93.75,,Open options
Week 13,Naptown Makos,131.05,Gingy Flame,98.9,,Open options
Week 13,Elm Street Skywalkers,161.35,Great Team Name,102.55,,Open options
Week 13,The Losers,75.6,Team Pancake,98.5,,Open options
Week 13,Currier Island Raging ...,112.05,Team Black Death,91.8,,Open options
Week 13,Team Painter Pick 6,88.2,Speedway's Ritual Cog,105.25,,Open options
Week 13,El Guapo Puto,108,Indianapolis Aztecs,86.05,,Open options
Week 12,Indianapolis Aztecs,139.25,Elm Street Skywalkers,85.45,,Open options
Week 12,Team Black Death,131.6,Team Pancake,74.95,,Open options
Week 12,Team Painter Pick 6,93.55,Great Team Name,136.15,,Open options
Week 12,El Guapo Puto,104.9,Speedway's Ritual Cog,112.95,,Open options
Week 12,Currier Island Raging ...,138.7,Gingy Flame,70.75,,Open options
Week 12,Naptown Makos,87.85,The Losers,62.2,,Open options
Week 11,Elm Street Skywalkers,88.7,El Guapo Puto,53.3,,Open options
Week 11,Team Black Death,78.15,Naptown Makos,115.7,,Open options
Week 11,Gingy Flame,109.9,The Losers,103.75,,Open options
Week 11,Team Painter Pick 6,87,Indianapolis Aztecs,119.2,,Open options
Week 11,Currier Island Raging ...,98,Team Pancake,110.25,,Open options
Week 11,Speedway's Ritual Cog,130,Great Team Name,112.4,,Open options
Week 10,Team Painter Pick 6,87.15,Currier Island Raging ...,102.75,,Open options
Week 10,El Guapo Puto,116.3,Naptown Makos,114.3,,Open options
Week 10,Speedway's Ritual Cog,93.6,Team Pancake,106.3,,Open options
Week 10,Gingy Flame,89.6,Elm Street Skywalkers,108,,Open options
Week 10,Team Black Death,174.45,Great Team Name,159.25,,Open options
Week 10,The Losers,137.7,Indianapolis Aztecs,79.6,,Open options
Week 9,Team Black Death,122.75,The Losers,103.1,,Open options
Week 9,Elm Street Skywalkers,124.2,Team Painter Pick 6,137.8,,Open options
Week 9,Team Pancake,111.2,Gingy Flame,119.35,,Open options
Week 9,Great Team Name,91.85,El Guapo Puto,74.85,,Open options
Week 9,Currier Island Raging ...,93.75,Naptown Makos,156.05,,Open options
Week 9,Indianapolis Aztecs,107,Speedway's Ritual Cog,94.45,,Open options
Week 8,Gingy Flame,107.2,Indianapolis Aztecs,138.25,,Open options
Week 8,Team Painter Pick 6,120.85,Team Pancake,107.6,,Open options
Week 8,Team Black Death,99.95,Speedway's Ritual Cog,116.6,,Open options
Week 8,The Losers,147.8,El Guapo Puto,91.25,,Open options
Week 8,Currier Island Raging ...,124.45,Great Team Name,94.65,,Open options
Week 8,Elm Street Skywalkers,98.9,Naptown Makos,102.95,,Open options
Week 7,Indianapolis Aztecs,90.3,Currier Island Raging ...,140.35,,Open options
Week 7,Great Team Name,87.75,The Losers,154.25,,Open options
Week 7,Team Black Death,96.9,Elm Street Skywalkers,89.3,,Open options
Week 7,El Guapo Puto,76.55,Team Pancake,81.95,,Open options
Week 7,Team Painter Pick 6,54.45,Naptown Makos,104,,Open options
Week 7,Speedway's Ritual Cog,117.1,Gingy Flame,75.05,,Open options
Week 6,The Losers,106.65,Elm Street Skywalkers,130.6,,Open options
Week 6,El Guapo Puto,99.7,Gingy Flame,107,,Open options
Week 6,Currier Island Raging ...,114.35,Speedway's Ritual Cog,63.3,,Open options
Week 6,Team Pancake,77.05,Great Team Name,132,,Open options
Week 6,Naptown Makos,94.75,Indianapolis Aztecs,112.9,,Open options
Week 6,Team Painter Pick 6,126.8,Team Black Death,112.6,,Open options
Week 5,Gingy Flame,92.55,Team Black Death,198.4,,Open options
Week 5,Indianapolis Aztecs,121.5,Great Team Name,102.7,,Open options
Week 5,Naptown Makos,118.85,Team Pancake,85.4,,Open options
Week 5,Currier Island Raging ...,98.6,The Losers,190.9,,Open options
Week 5,Team Painter Pick 6,120.2,El Guapo Puto,92.75,,Open options
Week 5,Elm Street Skywalkers,93.25,Speedway's Ritual Cog,156.75,,Open options
Week 4,Indianapolis Aztecs,126.35,Team Black Death,118.45,,Open options
Week 4,Great Team Name,130.15,Gingy Flame,77.2,,Open options
Week 4,Speedway's Ritual Cog,89.25,Naptown Makos,77.35,,Open options
Week 4,The Losers,124,Team Painter Pick 6,135.35,,Open options
Week 4,Team Pancake,103.85,Elm Street Skywalkers,125.2,,Open options
Week 4,El Guapo Puto,66.4,Currier Island Raging ...,113.2,,Open options
Week 3,Speedway's Ritual Cog,80.3,Team Painter Pick 6,176,,Open options
Week 3,Indianapolis Aztecs,121.45,Team Pancake,84.95,,Open options
Week 3,The Losers,130.5,Gingy Flame,140.65,,Open options
Week 3,Currier Island Raging ...,149.95,Team Black Death,119.8,,Open options
Week 3,Elm Street Skywalkers,98.55,El Guapo Puto,89.1,,Open options
Week 3,Great Team Name,93.75,Naptown Makos,98.3,,Open options
Week 2,Team Pancake,94.75,Team Black Death,127.75,,Open options
Week 2,Indianapolis Aztecs,99.05,El Guapo Puto,97.5,,Open options
Week 2,Speedway's Ritual Cog,85.05,The Losers,114,,Open options
Week 2,Team Painter Pick 6,104.2,Great Team Name,125.1,,Open options
Week 2,Naptown Makos,147.65,Gingy Flame,93.75,,Open options
Week 2,Currier Island Raging ...,109.8,Elm Street Skywalkers,116.35,,Open options
Week 1,Gingy Flame,139.95,Team Painter Pick 6,168.2,,Open options
Week 1,Naptown Makos,115,The Losers,91.25,,Open options
Week 1,El Guapo Puto,90.55,Team Black Death,132.9,,Open options
Week 1,Speedway's Ritual Cog,70.8,Great Team Name,126,,Open options
Week 1,Indianapolis Aztecs,100.8,Elm Street Skywalkers,95.35,,Open options
Week 1,Currier Island Raging ...,165.2,Team Pancake,135.6,,
