Week,Team,Score,Opponent,Score,Misc,Manage
Week 16,Big Ten Bandits,141.45,Frank's Little Beauties,179.8,,
Week 16,Team Pancake,149.25,Great Team Name,88.75,,
Week 16,Johnkshire Cats,111.35,El Guapo Puto,112.75,,
Week 16,Team Black Death,116.2,Elm Street Skywalkers,141.7,,
Week 16,Always Sunny in Camdel...,108.75,Purple Parade,91.6,,
Week 16,Brown Town,130.5,FFUcked Up,116.75,,
Week 15,Big Ten Bandits,149.6,Great Team Name,105.35,,
Week 15,Team Pancake,131.45,Frank's Little Beauties,154.1,,
Week 15,Johnkshire Cats,92.65,El Guapo Puto,102.35,,
Week 15,Purple Parade,132,Elm Street Skywalkers,143.05,,
Week 15,Team Black Death,147.25,FFUcked Up,133.7,,
Week 15,Brown Town,56.15,Always Sunny in Camdel...,81.3,,
Week 14,Purple Parade,102.45,Always Sunny in Camdel...,72.8,,
Week 14,Team Black Death,91.1,Brown Town,90.25,,
Week 14,FFUcked Up,117.55,Elm Street Skywalkers,143.15,,
Week 14,Team Pancake,159.55,Johnkshire Cats,96.7,,
Week 14,El Guapo Puto,126.7,Big Ten Bandits,131.1,,
Week 13,Johnkshire Cats,109.35,Purple Parade,109,,
Week 13,Always Sunny in Camdel...,66.85,Great Team Name,118.55,,
Week 13,Brown Town,137.15,Team Pancake,138.95,,
Week 13,FFUcked Up,79.15,Team Black Death,119.35,,
Week 13,Big Ten Bandits,110.85,Frank's Little Beauties,172.95,,
Week 13,El Guapo Puto,76.45,Elm Street Skywalkers,95.25,,
Week 12,Team Pancake,97.3,FFUcked Up,116.6,,
Week 12,Big Ten Bandits,114.2,Johnkshire Cats,122.85,,
Week 12,Team Black Death,136.25,Great Team Name,137.35,,
Week 12,Purple Parade,121.6,Elm Street Skywalkers,120.3,,
Week 12,El Guapo Puto,97.3,Frank's Little Beauties,98.25,,
Week 12,Brown Town,94.75,Always Sunny in Camdel...,126.95,,
Week 11,Frank's Little Beauties,104.7,Johnkshire Cats,105.7,,
Week 11,Team Black Death,112.8,Team Pancake,136.6,,
Week 11,Purple Parade,96.9,El Guapo Puto,102.05,,
Week 11,FFUcked Up,109.9,Always Sunny in Camdel...,90.75,,
Week 11,Brown Town,157.05,Great Team Name,125.15,,
Week 11,Big Ten Bandits,138.75,Elm Street Skywalkers,106.2,,
Week 10,Big Ten Bandits,114.65,Team Pancake,96.5,,
Week 10,Johnkshire Cats,79.25,Team Black Death,89.15,,
Week 10,Frank's Little Beauties,119.15,FFUcked Up,92.05,,
Week 10,Elm Street Skywalkers,98.3,Great Team Name,113.95,,
Week 10,Brown Town,98.7,El Guapo Puto,126.9,,
Week 10,Purple Parade,115.75,Always Sunny in Camdel...,49.6,,
Week 9,Team Black Death,96.2,Brown Town,75.7,,
Week 9,El Guapo Puto,105.3,Big Ten Bandits,96.25,,
Week 9,Johnkshire Cats,97.9,Elm Street Skywalkers,99.8,,
