Week,Team,Score,Opponent,Score,Misc,Manage
Week 16,Big Ten Bandits,58.8,FFUcked Up,84.8,,
Week 16,"Blood, Sweat and Beers",123.8,Stark Direwolves,100.35,,
Week 16,Atlanta Handsome Devils,78.2,The Well Done Stakes,87.15,,
Week 16,Goat Emoji II,117.8,The Stallions,103.5,,
Week 16,The Minutemen,154.15,Team Dogecoin,117.35,,
Week 16,Wisconsian Banana Bread,107.6,Stone Cold Steve Irwins,102.65,,
Week 15,Big Ten Bandits,83.85,The Well Done Stakes,119.95,,
Week 15,Stark Direwolves,127.7,FFUcked Up,102.05,,
Week 15,"Blood, Sweat and Beers",116.8,Atlanta Handsome Devils,125,,
Week 15,The Stallions,103.75,Goat Emoji II,165.9,,
Week 15,Stone Cold Steve Irwins,125.7,The Minutemen,125.3,,
Week 15,Wisconsian Banana Bread,131.1,Team Dogecoin,112.7,,
Week 14,Team Dogecoin,103.6,Goat Emoji II,84.85,,
Week 14,The Stallions,102.1,The Minutemen,126.05,,
Week 14,"Blood, Sweat and Beers",116.25,Big Ten Bandits,94.15,,
Week 14,Atlanta Handsome Devils,150,Stark Direwolves,76.45,,
Week 14,FFUcked Up,86.45,The Well Done Stakes,93.55,,
Week 13,Goat Emoji II,122.5,"Blood, Sweat and Beers",124.45,,
Week 13,Wisconsian Banana Bread,110.1,The Stallions,104.25,,
Week 13,Big Ten Bandits,108.85,The Well Done Stakes,76.7,,
Week 13,FFUcked Up,85.75,The Minutemen,87.1,,
Week 13,Team Dogecoin,69.85,Stone Cold Steve Irwins,93.25,,
Week 13,Atlanta Handsome Devils,104.9,Stark Direwolves,120,,
Week 12,Team Dogecoin,133.7,Wisconsian Banana Bread,83.1,,
Week 12,Atlanta Handsome Devils,70.25,Stone Cold Steve Irwins,113.35,,
Week 12,The Minutemen,66.6,Goat Emoji II,110.8,,
Week 12,"Blood, Sweat and Beers",117.15,Big Ten Bandits,102.25,,
Week 12,FFUcked Up,78.45,The Well Done Stakes,117.85,,
Week 12,The Stallions,95.75,Stark Direwolves,100.7,,
Week 11,Stark Direwolves,90.85,Stone Cold Steve Irwins,112.7,,
Week 11,The Stallions,126.7,Team Dogecoin,127.1,,
Week 11,FFUcked Up,98.1,"Blood, Sweat and Beers",143.5,,
Week 11,Goat Emoji II,111.45,Big Ten Bandits,68.2,,
Week 11,The Minutemen,69.9,The Well Done Stakes,88.3,,
Week 11,Wisconsian Banana Bread,108.35,Atlanta Handsome Devils,101.05,,
Week 10,Wisconsian Banana Bread,114.9,The Well Done Stakes,113.55,,
Week 10,Goat Emoji II,106.9,Atlanta Handsome Devils,119.2,,
Week 10,Stark Direwolves,75.75,Big Ten Bandits,93.65,,
