Team,Member,Rival,Record,Points Scored,Points Against,Inseason Rank,Final Rank,Misc,Manage
Wisconsian Banana Bread,bread,---,10-3,"1,447.05","1,442.70",2,1,,
Stone Cold Steve Irwins,scsi,---,10-3,"1,522.10","1,314.15",1,2,,
The Minutemen,mmen,---,8-5,"1,380.25","1,301.30",4,3,,
Team Dogecoin,doge,---,8-5,"1,481.10","1,440.20",3,4,,
Goat Emoji II,swaggy,---,7-6,"1,609.25","1,379.70",6,5,,
The Stallions,stallions,---,7-6,"1,621.55","1,496.75",5,6,,
The Well Done Stakes,stakes,---,3-10,"1,241.20","1,464.00",11,7,,
Atlanta Handsome Devils,devils,---,4-9,"1,356.85","1,490.40",10,8,,
"Blood, Sweat and Beers",beers,---,7-6,"1,449.85","1,420.65",7,9,,
Stark Direwolves,stark,---,5-8,"1,304.95","1,404.65",9,10,,
FFUcked Up,ffuckedup,---,2-11,"1,212.55","1,450.95",12,11,,
Big Ten Bandits,bandits,---,7-6,"1,374.00","1,395.25",8,12,,
