Team,Member,Rival,Record,Points Scored,Points Against,Inseason Rank,Final Rank,Misc,Manage
Frank's Little Beauties,user025,---,9-4,"1,603.25","1,434.95",1,1,,Open options
Big Ten Bandits,user026,---,7-6,"1,492.75","1,575.85",4,2,,Open options
Team Pancake,user024,---,8-5,"1,552.05","1,472.95",3,3,,Open options
Great Team Name,user019,---,9-4,"1,592.60","1,416.10",2,4,,Open options
El Guapo Puto,user023,---,6-7,"1,445.60","1,362.25",7,5,,Open options
Johnkshire Cats,user027,---,7-6,"1,394.65","1,460.25",6,6,,Open options
Elm Street Skywalkers,user022,---,6-7,"1,387.20","1,426.65",8,7,,Open options
Team Black Death,user018,---,5-8,"1,384.85","1,472.55",11,8,,Open options
Always Sunny in Camdelphia,user028,---,5-8,"1,403.05","1,547.15",10,9,,Open options
Purple Parade,user029,---,5-8,"1,415.30","1,372.30",9,10,,Open options
Brown Town,user030,---,4-9,"1,370.50","1,493.00",12,11,,Open options
FFUcked Up,user031,---,7-6,"1,424.25","1,432.05",5,12,,
